BBL,BldgArea,Energy (kBtu)
1008110021,313294,27256578.0
1008110031,386786,23942053.4
1008110051,187350,10997445.0
1008110056,101203,8703458.0
1008117501,193534,14766644.2
1008120006,180704,6451132.800000001
1008120013,54004,3294244.0
1008120016,165000,9553500.0
1008120022,397978,34743479.4
1008120042,95989,5624955.4
1008120069,93846,3547378.8
1008130001,433330,34753066.0
1008130016,464951,13334422719.2
1008130023,479620,38609410.0
1008130031,241001,19737981.900000002
1008130050,204034,12507284.2
1008130055,438643,19914392.2
1008130064,102835,44003096.5
1008140001,411074,21745814.599999998
1008140015,911896,72860490.4
1008140019,768530,61328694.0
1008140046,118949,7113150.199999999
1008140052,367212,23942222.400000002
1008147501,294785,31630430.5
1008150001,1088074,99123541.39999999
1008150014,361767,17111579.099999998
1008150021,173108,23854282.400000002
1008150039,129808,8775020.799999999
1008150046,364000,41168400.0
1008160007,310000,26257000.0
1008160031,350000,48335000.0
1008160037,132491,7869965.399999999
1008160059,53508,1096914.0
1008167501,123964,10041084.0
1008167503,59168,4502684.8
1008170001,101231,7936510.4
1008170029,403741,29069352.0
1008170085,129970,1806583.0
1008177501,60752,5066716.800000001
1008177502,250671,15666937.5
1008177503,139901,8701842.200000001
1008180010,64049,6468949.0
1008180051,351552,26542176.0
1008180059,50672,2761624.0
1008180078,74792,5923526.4
1008187501,144461,13521549.6
1008190027,51102,2953695.5999999996
1008190037,65857,5703216.199999999
1008190044,100621,11682098.1
1008190050,51889,16370979.5
1008190056,173152,10804684.799999999
1008197502,43097,3533954.0
1008197503,73288,5218105.600000001
1008200026,191400,13149180.0
1008200038,120000,4836000.0
1008207501,42845,4370190.0
1008207504,58594,4669941.8
1008210014,107152,11754574.4
1008210021,50256,4663756.8
1008210032,224320,18551264.0
1008210055,93722,7722692.800000001
1008217501,105821,7513291.0
1008217503,110630,7157761.0
1008217506,73270,5986159.0
1008220009,105942,4322433.6
1008220015,100800,6743520.000000001
1008220045,119136,10662672.0
1008220049,58900,5501260.0
1008220054,101368,5382640.8
1008220058,60798,4353136.8
1008220070,142532,10376329.6
1008230010,70000,4522000.0
1008230017,151236,6775372.8
1008230024,113284,12257328.8
1008230029,137007,11631894.3
1008230031,347000,6488900.0
1008230055,169887,8579293.5
1008230065,50313,3265313.7
1008230073,55200,1981680.0
1008237503,55764,2676672.0
1008240011,527452,46679502.0
1008240028,439330,30840966.0
1008240032,81527,8438044.5
1008250001,219718,21752082.0
1008250017,92285,9043930.0
1008250024,101600,8595360.0
1008250031,704950,69508070.0
1008250071,69823,1536106.0
1008260001,296400,25520040.0
1008260013,63214,5385832.8
1008260019,94075,10414102.5
1008260046,259749,13403048.4
1008260063,65372,4961734.800000001
1008260069,97554,8574996.6
1008267501,282140,10298110.0
1008270001,428340,44418858.0
1008270008,91075,5755940.0
1008270064,88000,8861600.0
1008270068,65150,7355435.0
1008280009,112259,8251036.5
1008280033,128010,7975023.0
1008280041,404245,24173851.0
1008280053,52916,3719994.8
1008280056,91000,8572200.0
1008280061,53100,2548800.0
1008280064,63791,3840218.2
1008290007,83050,6378240.0
1008290036,65247,8403813.600000001
1008290050,112608,15280905.6
1008290068,141830,11998818.0
1008300016,52800,5332800.0
1008300026,75328,6237158.399999999
1008300046,69649,5481376.3
1008300062,107030,4998301.0
1008300067,50150,4337975.0
1008300074,61418,4446663.2
1008310020,101808,7482888.0
1008320024,68764,8141657.600000001
1008320032,62091,5786881.2
1008320034,51553,2866346.8000000003
1008320049,90633,2918382.6
1008320062,60270,2278206.0
1008330006,120882,4956162.0
1008330018,132844,5818567.199999999
1008330038,75700,5518530.0
1008330049,80185,6767614.0
1008330054,63479,5795632.7
1008330057,113000,7378900.0
1008330063,54118,7906639.8
1008330075,62612,5027743.6
1008337502,242364,14129821.2
1008340019,61745,7909534.5
1008340022,206388,13394581.200000001
1008340029,64577,6754754.199999999
1008340039,99922,6674789.6
1008340049,319200,19503120.0
1008340057,153265,10728550.0
1008340080,117650,9364940.0
1008350001,886042,57769938.400000006
1008360001,362191,11372797.4
1008360007,89582,7247183.800000001
1008360010,275609,9039975.2
1008360026,431082,13277325.6
1008360033,55550,4171804.9999999995
1008360035,135570,15631221.0
1008360043,138748,12071076.0
1008360065,55498,1759286.5999999999
1008367501,47963,3803465.9
1008370001,100738,11474058.200000001
1008370009,55000,4631000.0
1008370015,81706,16561806.2
1008370020,67755,5549134.5
1008370023,71180,5103606.0
1008370030,69500,854850.0
1008370036,87301,7752328.8
1008370040,127666,13992193.6
1008370048,133544,7865741.6
1008370056,59367,5954510.1
1008370058,71534,5472351.0
1008370078,51157,3806080.8000000003
1008377501,128315,9546636.0
1008380001,386382,47950006.199999996
1008380008,53463,3378861.6
1008380015,108875,13511387.5
1008380021,57636,3331360.8
1008380024,72984,2773392.0
1008380030,52631,4805210.3
1008380032,80500,3437350.0
1008380036,62135,7232514.0
1008380048,83278,6437389.399999999
1008380058,52200,3278160.0
1008380072,54725,3661102.5000000005
1008380076,130625,8843312.5
1008387501,316572,31150684.8
1008390009,140898,18373099.2
1008390016,88043,7518872.2
1008390019,57698,3698441.8
1008390029,129465,8855406.0
1008390034,82878,8246361.0
1008390060,60000,3588000.0
1008390063,55870,4659558.0
1008397501,608800,41520160.0
