#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.93 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2002.9770,14.05000,7.38000,,
2003.0041,,7.03000,,
2003.0042,15.39000,,,
2003.0312,12.09000,,,
2003.0313,,7.14000,,
2003.0584,13.00000,12.24000,,
2003.0856,8.49000,12.40000,,
2003.1127,13.74000,14.87000,,
2003.1398,11.30000,,,
2003.1399,,9.56000,,
2003.1670,15.41000,,,
2003.1671,,7.78000,,
2003.1942,15.32000,9.85000,,
2003.2212,9.60000,,,
2003.2213,,11.00000,,
2003.2484,9.90000,,,
2003.2485,,9.88000,,
2003.2756,10.26000,,,
2003.2799,,9.94000,,
2003.3028,13.71000,7.64000,,
2003.3299,16.85000,,,
2003.3300,,8.56000,,
2003.3570,18.24000,10.06000,,
2003.3842,13.74000,10.44000,,
2003.4113,,10.36000,,
2003.4114,9.78000,,,
2003.4385,12.39000,7.57000,,
2003.4657,17.09000,8.45000,,
2003.4928,15.14000,6.14000,,
2003.5200,11.17000,6.83000,,
2003.5470,11.40000,,,
2003.5471,,10.69000,,
2003.5741,5.52000,,,
2003.5742,,9.14000,,
2003.6014,11.98000,10.39000,,
2003.6286,12.56000,7.40000,,
2003.6556,16.27000,,,
2003.6557,,10.15000,,
2003.6827,14.61000,,,
2003.6829,,11.69000,,
2003.7100,5.08000,11.84000,,
2003.7371,,11.56000,,
2003.7372,6.00000,,,
2003.7642,9.97000,,,
2003.7643,,13.63000,,
2003.7914,13.23000,11.52000,,
2003.8186,,11.06000,,
2003.8187,16.53000,,,
2003.8457,16.74000,10.27000,,
2003.8708,,9.08000,,
2003.8728,7.14000,,,
2003.9000,8.96000,,,
2003.9112,,6.61000,,
2003.9271,13.61000,,,
2003.9272,,11.55000,,
2003.9543,17.98000,11.37000,,
2003.9813,17.97000,,,
2003.9815,,8.30000,,
2004.0086,11.20000,9.05000,,
2004.0358,8.97000,,,
2004.0359,,13.95000,,
2004.0628,,13.23000,,
2004.0629,8.05000,,,
2004.0898,10.69000,,,
2004.0901,,12.06000,,
2004.1135,,6.30000,,
2004.1173,15.82000,,,
2004.1443,12.85000,,,
2004.1489,,11.25000,,
2004.1715,15.23000,12.25000,,
2004.1986,7.83000,11.50000,,
2004.2258,10.01000,,,
2004.2259,,12.04000,,
2004.2513,,14.10000,,
2004.2531,16.62000,,,
2004.2801,18.00000,11.24000,,
2004.3073,,14.56000,,
2004.3075,21.67000,,,
2004.3343,15.61000,,,
2004.3344,,9.88000,,
2004.3615,13.61000,10.18000,,
2004.3884,11.79000,,,
2004.3886,,9.35000,,
2004.4158,,13.05000,,
2004.4429,,12.45000,,
2004.4702,,11.00000,,
2004.4728,18.95000,,,
2004.4971,13.57000,,,
2004.4973,,14.96000,,
2004.5226,9.40000,,,
2004.5244,,14.21000,,
2004.5497,7.40000,,,
2004.5516,,12.23000,,
2004.5771,8.08000,,,
2004.5787,,9.44000,,
2004.6060,,10.76000,,
2004.6063,15.50000,,,
2004.6330,,13.27000,,
2004.6331,16.88000,,,
2004.6601,,12.71000,,
2004.6602,13.39000,,,
2004.6870,7.96000,,,
2004.6873,,14.16000,,
2004.7143,11.26000,,,
2004.7145,,16.83000,,
2004.7416,,12.18000,,
2004.7417,7.22000,,,
2004.7686,17.16000,,,
2004.7687,,13.61000,,
2004.7959,,14.55000,,
2004.7960,14.98000,,,
2004.8231,10.05000,,,
2004.8232,,12.95000,,
2004.8502,8.33000,13.42000,,
2004.8773,9.09000,,,
2004.8774,,13.64000,,
2004.9044,,8.36000,,
2004.9045,9.06000,,,
2004.9317,,11.94000,,
2004.9318,16.74000,,,
2004.9541,14.47000,,,
2004.9590,,13.20000,,
2004.9859,12.60000,,,
2004.9860,,19.43000,,
2005.0129,2.10000,,,
2005.0131,,14.67000,,
2005.0401,5.64000,,,
2005.0402,,14.15000,,
2005.0675,12.29000,16.42000,,
2005.0945,18.29000,15.61000,,
2005.1217,15.18000,16.42000,,
2005.1488,7.89000,,,
2005.1491,,16.16000,,
2005.1759,11.05000,19.62000,,
2005.2031,,18.04000,,
2005.2033,9.85000,,,
2005.2301,,12.87000,,
2005.2303,10.03000,,,
2005.2574,13.14000,13.53000,,
2005.2844,,18.46000,,
2005.2847,16.84000,,,
2005.3106,7.10000,,,
2005.3117,,15.68000,,
2005.3389,,16.89000,,
2005.3394,8.48000,,,
2005.3659,12.17000,,,
2005.3660,,16.79000,,
2005.3932,16.56000,,,
2005.3933,,15.85000,,
2005.4200,13.46000,,,
2005.4203,,16.24000,,
2005.4474,12.91000,17.42000,,
